tilecode,n_points,convex_hull,concave_hull,location
2496_9727,925,"POLYGON ((124842.691 486376.8015, 124842.823 486374.75200000004, 124843.6575 486373.2035, 124845.795 486370.148, 124846.6235 486370.229, 124848.714 486371.167, 124850.12 486371.837, 124850.599 486372.738, 124850.801 486373.186, 124850.90833333334 486373.84400000004, 124850.975 486379.276, 124850.937 486380.18350000004, 124849.158 486381.751, 124848.4315 486381.6095, 124845.22750000001 486379.88899999997, 124842.691 486376.8015))","POLYGON ((124845.42933333333 486377.87766666664, 124845.428 486377.68200000003, 124844.412 486377.341, 124843.981 486377.306, 124843.509 486377.12, 124843.06 486377.12700000004, 124842.691 486376.8015, 124842.76000000001 486376.68700000003, 124843.141 486375.92100000003, 124843.099 486375.56, 124842.87133333333 486375.216, 124842.823 486374.75200000004, 124843.40433333332 486374.1423333334, 124843.4695 486373.91575000004, 124843.485 486373.666, 124843.6575 486373.2035, 124843.989 486373.226, 124844.735 486373.398, 124845.22 486372.989, 124845.418 486372.94550000003, 124845.6495 486372.85400000005, 124846.107 486372.62200000003, 124846.4325 486371.8985, 124846.145 486371.3325, 124845.85800000001 486371.08, 124845.626 486370.84750000003, 124845.628 486370.653, 124845.621 486370.397, 124845.795 486370.148, 124846.451 486370.24700000003, 124846.6235 486370.229, 124846.82400000001 486370.46700000006, 124847.15533333334 486370.68483333336, 124847.295 486370.72500000003, 124847.318 486370.88300000003, 124847.709 486371.341, 124848.41200000001 486371.195, 124848.714 486371.167, 124849.085 486371.435, 124849.32400000001 486371.699, 124850.12 486371.837, 124850.284 486372.257, 124850.387 486372.47000000003, 124850.599 486372.738, 124850.801 486373.186, 124850.837 486373.424, 124850.90833333334 486373.84400000004, 124850.87557142857 486374.1424285714, 124850.88807142859 486374.412, 124850.90657142857 486374.6608571429, 124850.906 486375.10750000004, 124850.85750000001 486375.4425, 124850.88322222223 486375.6364444445, 124850.903875 486375.88725, 124850.925 486376.239, 124850.907 486376.5405, 124850.932 486376.856, 124850.90125000001 486377.24450000003, 124850.90666666668 486377.418, 124850.8686 486377.68059999996, 124850.8917 486377.94119999994, 124850.90560000001 486378.1758, 124850.8832 486378.3982, 124850.87 486378.6663333333, 124850.89871428571 486378.8305714286, 124850.975 486379.276, 124850.85200000001 486379.6345, 124850.937 486380.18350000004, 124850.683 486379.993, 124850.067 486380.099, 124849.77100000001 486380.784, 124849.47200000001 486381.28, 124849.158 486381.751, 124848.64850000001 486381.596, 124848.4315 486381.6095, 124848.662 486381.385, 124847.9055 486380.58999999997, 124847.63840000001 486380.66359999997, 124847.413 486380.545, 124847.22600000001 486380.4, 124846.8645 486380.1365, 124846.648 486380.061, 124846.3925 486379.94025, 124846.10333333333 486379.93933333334, 124845.806 486380.054, 124845.465 486379.87700000004, 124845.22750000001 486379.88899999997, 124845.41116666667 486379.3656666667, 124845.4905 486379.223, 124845.69833333335 486378.95266666665, 124845.454 486378.197, 124845.42933333333 486377.87766666664))",POINT (124847.55477814632 486375.7680609467)
2496_9727,206,"POLYGON ((124806.717 486365.449, 124804.614 486363.69800000003, 124804.943 486363.001, 124806.11 486361.294, 124807.145 486360.227, 124808.61099999999 486360.4976666667, 124809.69900000001 486361.126, 124810.204 486362.412, 124810.356 486364.45900000003, 124809.60599999999 486365.212, 124809.36600000001 486365.356, 124806.717 486365.449))","POLYGON ((124806.426 486361.087, 124806.85250000001 486360.89300000004, 124807.145 486360.227, 124807.8545 486360.7615, 124808.13466666666 486360.7153333333, 124808.61099999999 486360.4976666667, 124808.6265 486360.802, 124809.69900000001 486361.126, 124809.4485 486361.498, 124809.342 486361.72500000003, 124810.204 486362.412, 124810.119 486362.982, 124810.041 486363.939, 124810.27500000001 486364.298, 124810.356 486364.45900000003, 124809.836 486364.717, 124809.60599999999 486365.212, 124809.36600000001 486365.356, 124809.119 486365.202, 124808.528 486365.001, 124808.215 486364.719, 124807.499 486364.765, 124807.329 486364.9935, 124807.27500000001 486365.265, 124807.039 486365.389, 124806.717 486365.449, 124807.14050000001 486364.958, 124806.95449999999 486364.159, 124806.0945 486364.0385, 124805.7565 486364.32, 124805.287 486363.928, 124804.867 486363.891, 124804.614 486363.69800000003, 124804.943 486363.001, 124805.346 486362.63800000004, 124805.717 486362.246, 124805.979 486362.064, 124806.11 486361.294, 124806.247 486361.20900000003, 124806.426 486361.087))",POINT (124807.83514232122 486362.98680105084)
2496_9727,192,"POLYGON ((124822.623 486369.47500000003, 124824.49 486373.325, 124823.977 486373.6625, 124820.15400000001 486372.805, 124818.031 486370.945, 124817.94900000001 486370.61600000004, 124818.231 486370.131, 124819.2725 486369.64400000003, 124820.88100000001 486369.22000000003, 124821.29800000001 486369.157, 124822.337 486369.27400000003, 124822.623 486369.47500000003))","POLYGON ((124819.864 486372.092, 124819.75 486372.03500000003, 124819.522 486371.626, 124818.867 486371.045, 124818.531 486370.836, 124818.031 486370.945, 124817.94900000001 486370.61600000004, 124818.231 486370.131, 124818.447 486370.129, 124818.856 486370.155, 124819.2725 486369.64400000003, 124819.945 486369.776, 124820.47700000001 486369.6825, 124820.75433333335 486369.4043333333, 124820.88100000001 486369.22000000003, 124821.29800000001 486369.157, 124821.97433333333 486369.4303333333, 124822.337 486369.27400000003, 124822.48666666668 486369.40866666666, 124822.623 486369.47500000003, 124822.4755 486369.64300000004, 124822.489 486370.444, 124822.905 486370.625, 124822.974 486371.2185, 124822.999 486371.952, 124823.372 486372.7215, 124823.89600000001 486372.98250000004, 124824.035 486373.119, 124824.49 486373.325, 124823.977 486373.6625, 124823.781 486373.576, 124823.10100000001 486373.368, 124822.425 486373.228, 124822.303 486373.026, 124821.364 486372.71, 124820.789 486372.543, 124820.45866666666 486372.688, 124820.15400000001 486372.805, 124819.864 486372.092))",POINT (124821.20118085411 486371.2350521202)
2496_9727,273,"POLYGON ((124807.04000000001 486371.811, 124807.986 486368.818, 124811.4865 486369.031, 124812.2865 486369.6315, 124812.473 486370.646, 124812.36200000001 486373.422, 124812.186 486374.056, 124811.76299999999 486374.327, 124811.2835 486374.49250000005, 124810.307 486374.777, 124807.568 486374.08, 124807.098 486373.315, 124807.04000000001 486371.811))","POLYGON ((124809.119 486374.164, 124808.49266666667 486373.817, 124808.151 486373.96, 124807.568 486374.08, 124807.33050000001 486373.63, 124807.098 486373.315, 124807.461 486372.65400000004, 124807.04000000001 486371.811, 124807.198 486371.663, 124807.854 486371.541, 124808.041 486371.49950000003, 124808.424 486371.079, 124808.555 486370.302, 124808.36750000001 486370.03599999996, 124808.09233333333 486369.74666666664, 124807.975 486369.565, 124807.986 486368.818, 124808.274 486369.0665, 124808.66500000001 486369.545, 124809.647 486369.436, 124810.111 486369.3515, 124810.88100000001 486369.052, 124811.4865 486369.031, 124811.944 486369.588, 124812.2865 486369.6315, 124812.18400000001 486369.74600000004, 124812.473 486370.646, 124812.435 486371.311, 124811.77066666668 486371.8826666667, 124812.289 486372.555, 124812.36200000001 486373.422, 124812.16500000001 486373.891, 124812.186 486374.056, 124811.76299999999 486374.327, 124811.2835 486374.49250000005, 124811.123 486374.485, 124810.54733333334 486374.6176666667, 124810.307 486374.777, 124810.098 486374.62, 124809.637 486374.243, 124809.326 486374.141, 124809.119 486374.164))",POINT (124809.99009283884 486372.0330783634)
2496_9727,417,"POLYGON ((124847.07866666668 486389.29733333335, 124848.425 486389.01900000003, 124848.778 486389.11, 124849.216 486389.329, 124850.293 486390.27, 124850.672 486393.992, 124850.5525 486394.53500000003, 124850.338 486395.33400000003, 124849.969 486396.316, 124848.725 486397.592, 124847.905 486397.842, 124846.883 486397.359, 124846.619 486396.829, 124845.576 486394.08900000004, 124845.565 486393.77400000003, 124846.41 486390.445, 124847.07866666668 486389.29733333335))","POLYGON ((124845.73733333334 486393.7943333333, 124846.0475 486393.821, 124846.522 486394.0555, 124847.0495 486393.7755, 124847.179 486393.57, 124847.3205 486393.069, 124847.30425 486392.76975000004, 124847.299 486392.495, 124847.03566666668 486391.9793333334, 124846.6695 486391.8025, 124846.657 486391.413, 124846.656 486391.108, 124846.6325 486390.7185, 124846.41 486390.445, 124846.604 486390.13300000003, 124847.07866666668 486389.29733333335, 124847.255 486389.336, 124847.503 486389.50800000003, 124848.04000000001 486389.518, 124848.425 486389.01900000003, 124848.778 486389.11, 124849.01966666667 486389.24566666665, 124849.216 486389.329, 124849.701 486389.9, 124850.293 486390.27, 124850.0875 486390.6655, 124850.321 486391.408, 124850.03159999999 486391.7398, 124849.80200000001 486392.2476666667, 124850.0985 486392.945, 124850.299 486393.5035, 124850.672 486393.992, 124850.5525 486394.53500000003, 124850.3275 486395.0195, 124850.338 486395.33400000003, 124850.08433333335 486395.53033333336, 124849.973 486395.983, 124849.969 486396.316, 124849.691 486396.434, 124849.313 486396.8015, 124849.266 486396.919, 124849.047 486397.0985, 124848.725 486397.592, 124848.526 486397.5715, 124847.905 486397.842, 124847.572 486397.655, 124846.883 486397.359, 124846.619 486396.829, 124846.85800000001 486396.677, 124847.0265 486396.0365, 124846.854 486395.673, 124846.85866666667 486395.50200000004, 124846.80433333333 486395.2966666667, 124846.253 486394.896, 124846.09633333333 486394.544, 124845.788 486394.177, 124845.576 486394.08900000004, 124845.565 486393.77400000003, 124845.73733333334 486393.7943333333))",POINT (124848.3730472498 486393.2758726701)
2496_9727,231,"POLYGON ((124823.331 486393.52, 124821.811 486390.659, 124824.551 486388.705, 124825.9995 486388.70550000004, 124826.84 486388.981, 124827.29400000001 486389.81200000003, 124827.84900000002 486390.87, 124827.447 486393.049, 124827 486393.45300000004, 124825.77900000001 486393.761, 124823.331 486393.52))","POLYGON ((124824.792 486393.319, 124823.86200000001 486393.558, 124823.331 486393.52, 124823.58550000002 486393.23199999996, 124823.683 486392.431, 124823.815 486391.626, 124823.4115 486391.3785, 124823.05 486391.278, 124822.852 486391.255, 124822.202 486390.914, 124821.811 486390.659, 124822.004 486390.66000000003, 124822.545 486390.359, 124822.861 486390.1405, 124823.08200000001 486390.093, 124823.636 486389.8915, 124824.099 486389.808, 124824.257 486389.722, 124824.433 486388.949, 124824.551 486388.705, 124824.836 486388.713, 124825.392 486388.83400000003, 124825.9995 486388.70550000004, 124826.84 486388.981, 124826.88100000001 486389.391, 124827.29400000001 486389.81200000003, 124827.321 486390.416, 124827.84900000002 486390.87, 124827.653 486391.37, 124827.24 486391.9055, 124827.35100000001 486392.724, 124827.447 486393.049, 124827 486393.45300000004, 124826.8585 486393.2255, 124825.962 486393.118, 124825.77900000001 486393.761, 124825.5635 486393.671, 124825.16100000001 486393.576, 124824.893 486393.43, 124824.792 486393.319))",POINT (124825.2893371022 486391.23247030284)
2496_9727,298,"POLYGON ((124815.662 486398.742, 124812.182 486396.506, 124810.78 486393.08400000003, 124810.71800000001 486392.836, 124811.16 486392.2, 124812.982 486391.429, 124814.00200000001 486391.224, 124815.636 486391.30500000005, 124816.853 486392.253, 124817.9215 486393.199, 124818.001 486393.984, 124817.119 486397.294, 124816.384 486398.469, 124815.87 486398.67100000003, 124815.662 486398.742))","POLYGON ((124815.662 486398.742, 124815.539 486398.655, 124815.53366666667 486398.561, 124815.66166666667 486398.3103333334, 124815.99900000001 486397.7685, 124816.04800000001 486397.47750000004, 124815.098 486397.033, 124814.96675 486397.18775000004, 124814.69 486397.488, 124813.956 486396.93200000003, 124813.436 486397.145, 124813.29000000001 486397.091, 124812.72450000001 486396.538, 124812.504 486396.4980000001, 124812.182 486396.506, 124812.63100000001 486396.27, 124813.145 486396.322, 124813.79000000001 486395.646, 124813.23300000001 486395.17650000006, 124812.643 486394.984, 124812.965 486394.739, 124812.787 486393.61600000004, 124812.18000000001 486393.527, 124812.023 486393.598, 124811.70766666667 486393.4463333334, 124811.528 486393.401, 124810.78 486393.08400000003, 124810.71800000001 486392.836, 124811.043 486392.559, 124811.16 486392.2, 124811.71100000001 486392.53650000005, 124811.989 486392.579, 124812.687 486392.46400000004, 124812.821 486391.667, 124812.789 486391.563, 124812.982 486391.429, 124813.095 486391.423, 124814.00200000001 486391.224, 124814.2195 486391.2615, 124814.28600000001 486391.5625, 124815.1355 486392.17000000004, 124815.65000000001 486391.71400000004, 124815.636 486391.30500000005, 124815.844 486391.554, 124815.87874999999 486391.7265, 124816.853 486392.253, 124817.162 486392.842, 124817.678 486393.179, 124817.9215 486393.199, 124817.886 486393.395, 124818.001 486393.984, 124817.66 486394.23, 124817.4155 486394.292, 124817.2 486394.476, 124816.8995 486394.79650000005, 124816.74 486395.166, 124816.48 486395.651, 124816.576 486396.73600000003, 124817.119 486397.294, 124816.4385 486397.9585, 124816.37700000001 486398.309, 124816.384 486398.469, 124815.87 486398.67100000003, 124815.662 486398.742))",POINT (124814.6832338564 486394.3978881138)
2496_9727,204,"POLYGON ((124815.667 486359.674, 124815.72 486358.41500000004, 124817.15166666667 486357.11833333335, 124819.624 486357.27900000004, 124820.66100000001 486357.59233333333, 124820.908 486357.695, 124821.3505 486359.6355, 124819.124 486361.958, 124817.144 486362.076, 124816.857 486361.79000000004, 124815.974 486360.844, 124815.667 486359.674))","POLYGON ((124818.916 486360.648, 124819.07800000001 486360.62700000004, 124819.19400000002 486360.8713333334, 124819.418 486361.56350000005, 124819.124 486361.958, 124818.956 486361.82550000004, 124818.35800000001 486361.813, 124818.1435 486361.9955, 124817.667 486361.78, 124817.144 486362.076, 124816.857 486361.79000000004, 124816.882 486361.68, 124816.916 486360.804, 124815.974 486360.844, 124816.41649999999 486360.3785, 124816.403 486360.059, 124815.667 486359.674, 124816.035 486359.385, 124815.999 486358.643, 124815.72 486358.41500000004, 124815.88500000001 486358.392, 124816.4535 486357.9095, 124816.731 486357.628, 124816.943 486357.368, 124817.15166666667 486357.11833333335, 124817.387 486357.34500000003, 124818.36850000001 486357.302, 124818.6605 486357.29800000007, 124819.624 486357.27900000004, 124820.331 486357.55700000003, 124820.66100000001 486357.59233333333, 124820.908 486357.695, 124820.95 486357.985, 124820.8855 486358.31, 124820.966 486358.56, 124821.20166666666 486359.5696666667, 124821.3505 486359.6355, 124820.66300000002 486359.87125, 124820.553 486360.033, 124820.406 486360.032, 124820.21933333333 486359.9013333333, 124819.89566666668 486359.607, 124819.602 486359.50800000003, 124819.314 486359.5275, 124819.236 486359.498, 124818.875 486359.478, 124818.666 486359.474, 124818.17300000001 486360.2685, 124818.916 486360.648))",POINT (124818.4283201972 486359.22226699936)
2496_9727,49,"POLYGON ((124848.40000000001 486384.314, 124849.1615 486383.9425, 124849.95300000001 486383.988, 124850.38500000001 486384.141, 124850.392 486384.387, 124850.35466666667 486384.56733333337, 124849.808 486386.066, 124849.642 486386.338, 124848.685 486385.3285, 124848.40000000001 486384.314))","POLYGON ((124848.40000000001 486384.314, 124849.1615 486383.9425, 124849.95300000001 486383.988, 124850.38500000001 486384.141, 124850.392 486384.387, 124850.35466666667 486384.56733333337, 124849.808 486386.066, 124849.642 486386.338, 124848.685 486385.3285, 124848.40000000001 486384.314))",POINT (124849.46163911563 486384.8610131681)
2496_9727,208,"POLYGON ((124820.363 486383.776, 124820.181 486381.911, 124820.342 486381.335, 124821.875 486380.19, 124822.394 486379.92600000004, 124822.692 486379.9, 124824.25700000001 486379.8995, 124825.624 486380.44, 124825.62299999999 486380.7135, 124825.59700000001 486381.653, 124825.585 486381.89400000003, 124824.398 486383.978, 124823.42 486384.311, 124820.363 486383.776))","POLYGON ((124825.242 486380.683, 124825.409 486380.628, 124825.624 486380.44, 124825.62299999999 486380.7135, 124825.61600000001 486380.8925, 124825.59700000001 486381.653, 124825.585 486381.89400000003, 124825.10100000001 486382.6406666667, 124824.465 486382.851, 124824.27100000001 486383.72500000003, 124824.398 486383.978, 124823.8255 486384.037, 124823.642 486384.163, 124823.42 486384.311, 124823.182 486383.864, 124822.872 486383.626, 124822.12700000001 486383.381, 124821.6055 486383.872, 124821.4535 486383.8885, 124820.6735 486383.79774999997, 124820.363 486383.776, 124820.60100000001 486383.429, 124821.2265 486382.93, 124821.243 486382.335, 124820.503 486381.954, 124820.181 486381.911, 124820.342 486381.335, 124821.007 486381.1365, 124821.505 486380.87, 124821.6415 486380.6905, 124821.875 486380.19, 124822.394 486379.92600000004, 124822.692 486379.9, 124823.016 486379.93700000003, 124823.667 486380.105, 124823.946 486379.947, 124824.25700000001 486379.8995, 124824.365 486380.081, 124824.6185 486380.395, 124825.242 486380.683))",POINT (124823.01567259285 486381.89305158047)
